科系,採計科目(含一階篩選方式、倍率、超篩)
教育學系,國、英、數B、社
輔導與諮商學系,國、英、數B、社
特殊教育學系,國、英、數B、社
幼兒教育學系,國、英、數B、社
數位學習設計與管理學系,國、英、數B
中國文學系,國、英、社
應用歷史學系,國、英、社
外國語言學系英語教學組,國、英、社
外國語言學系應用外語組,國、英、社
企業管理學系,國、英、數B、社
應用經濟學系,國、英、數B
科技管理學系,國、英、數B
資訊管理學系,國、英、數B
行銷與觀光管理學系,國、英、數B
財務金融學系,國、英、數B
農藝學系,國、英、數A、自
園藝學系,國、英、數A、自
森林暨自然資源學系,國、英、數A、自
木質材料與設計學系,國、英、數A、自
動物科學系,國、英、數A、自
生物農業科技學系,國、英、自
景觀學系,國、數B、社、自
植物醫學系,國、英、數A、自
電子物理學系,國、英、數A、自
應用化學系,國、英、數A、自
應用數學系,國、英、數A、自
資訊工程學系,國、英、數A
資訊工程學系(APCS組),英、數A、APCS
生物機電工程學系,英、數A、自
土木與水資源工程學系,英、數A、自
電機工程學系,國、英、數A、自
機械與能源工程學系,國、英、數A、自
食品科學系,英、數A、自
水生生物科學系,國、英、數A、自
生物資源學系,國、英、數A、自
生化科技學系,國、英、自
微生物免疫與生物藥學系,國、英、自
獸醫學系,國、英、數A、自
音樂學系,國、英、主修、樂理、聽寫
視覺藝術學系,國、英、社、素描、彩繪技法
體育與健康休閒學系,國、英、數B
