科系,採計科目(含一階篩選方式、倍率、超篩)
哲學系,國、英、社
中國文學系中國文學組,國、英
中國文學系文藝創作組,國、英
史學系,國*、英*、社
日本語文學系,國、英*、社
韓國語文學系,國、英
俄國語文學系,國*、英、社*
英國語文學系,國*、英、社*
法國語文學系,國*、英、社*
全球商務學士學位學程,國*、英、數A、數B、社*
應用數學系,國、英、數A
光電物理學系,國*、英*、數A
化學系,國*、英*、數A*、自
地理學系,國、英*、社
大氣科學系,國*、英*、數A、自*
地質學系,國、英
生命科學系,國*、英、自
法律學系法學組,國、英、社*
法律學系財經法律組,國、英、社*
法律學系企業金融法制組,國、英、社*
政治學系,國、英
經濟學系,國、英、數B、社*
勞動暨人力資源學系,國、英、社
社會福利學系,國、英*、社
行政管理學系,國*、英、社
園藝暨生物技術學系,國、英、自
動物科學系,國、英*、自
森林暨自然保育學系,國、英*、自
土地資源學系,國、英、數B
生活應用科學系,國*、社
保健營養學系,國、英、自
化學工程與材料工程學系,英、數A、自
電機工程學系,國*、英*、數A、自*
機械工程學系,國、英、數A
紡織工程學系,國*、英、數A*、自
資訊工程學系,國*、英、數A*、自*
國際貿易學系,國*、英、社*
國際企業管理學系,國、英*、社
會計學系,國、英*、數B*
觀光事業學系,國、英、社
資訊管理學系(智慧商務科技組),英、數B、社
資訊管理學系(雲端服務暨巨量資料組),英、數B、社*
"	
財務金融學系金融行銷組",國、社
財務金融學系財務金融組,國、英
行銷學士學位學程,國*、社
新聞學系,國、英、社
廣告學系,國、英、社
資訊傳播學系,國、英
大眾傳播學系,國、英、社*
都市計劃與開發管理學系,國、社
建築及都市設計學系,國、英
景觀學系,國、英、社*、自*
教育學系,國、英、社
心理輔導學系,國、英、社
戲劇學系,國、英
中國戲劇學系,國、社*
音樂學系,"國、主修、擊樂
理論作曲"
美術學系,國、英*、社*、素描、彩繪技法、水墨書畫
體育學系,國*、英、社*、自*
運動與健康促進學系,國*、英
