科系,採計科目(含一階篩選方式、倍率、超篩)
教育學系,國、英、數B
幼兒教育學系,國、英、數B、社
特殊教育學系,國、英、數B、社
教育心理與輔導學系,國、英、數B、社
中國語文學系,國、英、社
文化創意產業學系,國、英、社
社會發展學系,國、英、社
英語學系,國、英、社
應用英語學系,國、英、社、英聽
應用日語學系,國、英、社
視覺藝術學系數位媒體設計組,國、英
商業自動化與管理學系,國、英、數B、社
行銷與流通管理學系,國、英、數B、社
休閒事業經營學系,國、英、數B
不動產經營學系,國、社
企業管理學系,國、英、數B、社
國際經營與貿易學系,國、英、數B、社
財務金融學系,國、英、數B、社
會計學系,國、英、數B
大數據商務應用學士學位學程,國、英、數B、社
應用化學系,國、英、數A、自
應用數學系,數A、自
應用物理系物理組,英、數A、自
應用物理系光電暨材料組,英、數A、自
科學傳播學系,英、自
電腦科學與人工智慧學系,國、英、數A
智慧機器人學系,英、數A、自
智慧機器人學系,英、數A、自
資訊工程學系,國、英、數A
電腦與通訊學系,國、英、數A
資訊管理學系,國、英、數B
音樂學系,國、英、主修
視覺藝術學系美術組,國、英、素描、彩繪技法
體育學系,國、英、數B、自
