科系,採計科目(含一階篩選方式、倍率、超篩)
機械與電腦輔助工程學系,國、英、數A、自
纖維與複合材料學系,國、英、數A、自
工業工程與系統管理學系A組,國、英、數A
工業工程與系統管理學系B組,國、英、數B
化學工程學系,國、英、數A、自
航太與系統工程學系,國、英、數A、自
精密系統設計學士學位學程,國、英、數A
應用數學系A組,國、英、數A
應用數學系B組,國、英、數B
材料科學與工程學系,國、英、數A、自
環境工程與科學學系,國、英、數A、自
光電科學與工程學系,國、英、數A、自
會計學系,國、英、數B、社
國際經營與貿易學系,國、英、數B、社
國際企業管理全英語學士學位學程,國、英、數B、社、英聽
財稅學系,國、英、數B、社
合作經濟暨社會事業經營學系,國、英、數B、社
統計學系商業大數據組,國、英、數B
統計學系大數據分析與市場決策組,國、英、數B
經濟學系,國、英、數B
企業管理學系,國、英、數B、社
行銷學系,國、英、數B
中國文學系,國、英、社
外國語文學系,國、英、社
資訊工程學系甲組,國、英、數A
資訊工程學系乙組,國、英、數B
資訊工程學系(APCS組),國、英、數A、APCS
電子工程學系甲組,國、英、數A、自
電子工程學系乙組,國、英、數B、自
電機工程學系甲組,國、英、數A、自
電機工程學系乙組,國、英、數B、自
自動控制工程學系甲組,國、英、數A、自
自動控制工程學系乙組,國、英、數B、自
資訊電機學院學士班甲組,英、數A、自
資訊電機學院學士班乙組,英、數B、自
通訊工程學系甲組,國、英、數A
通訊工程學系乙組,國、英、數B
土木工程學系,國、英、數A、自
水利工程與資源保育學系,國、英、數A
都市計畫與空間資訊學系,國、英、社
運輸與物流學系,國、英、數B
土地管理學系,國、英、社
財務金融學系,國、英、數B
風險管理與保險學系,國、英、數B、社
財務工程與精算學士學位學程,國、英、數B
建築專業學院學士班,國、英、數A
澳洲墨爾本皇家理工大學商學與創新雙學士學位學程,英、數B
澳洲昆士蘭大學商學雙學士學位學程,英、數B
美國普渡大學電機資訊雙學士學位學程,英、數A
美國加州聖荷西州立大學商學大數據分析雙學士學位學程,英、數B
美國加州聖荷西州立大學電機工程雙學士學位學程,英、數A
美國加州舊金山州立大學資訊工程雙學士學位學程,英、數A
人工智慧技術與應用學士學位學程,國、英、數A
